Analytes,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,NormGroup
X10054.3,10054-3,3,SL019232,Gigaxonin,GAN,Q9H2C0,8139,GAN,Human,RFU,Protein,20,S1
X10882.12,10882-12,3,SL005718,Desmocollin-1,Desmocollin-1,Q08554,1823,DSC1,Human,RFU,Protein,20,S1
X10953.14,10953-14,3,SL018252,C-type lectin domain family 2 member A,CLC2A,Q6UVW9,387836,CLEC2A,Human,RFU,Protein,20,S1
X11422.2,11422-2,3,SL019446,Homeobox protein DLX-3,DLX3,O60479,1747,DLX3,Human,RFU,Protein,20,S1
X14039.33,14039-33,3,SL003863,Kallikrein-5,kallikrein 5,Q9Y337,25818,KLK5,Human,RFU,Protein,20,S1
X14615.46,14615-46,3,SL020089,Keratin-associated protein 2-4,KRA24,Q9BYR9,730755,KRTAP2-4,Human,RFU,Protein,20,S2
X14711.27,14711-27,3,SL004438,Cystatin-M,Cystatin M,Q15828,1474,CST6,Human,RFU,Protein,20,S2
X15297.3,15297-3,3,SL004825,Protein S100-A3,S100A3,P33764,6274,S100A3,Human,RFU,Protein,20,S1
X17356.34,17356-34,3,SL007561,Interleukin-1 family member 10,IL1FA,Q8WWZ1,84639,IL1F10,Human,RFU,Protein,20,S1
X18190.15,18190-15,3,SL007302,Caspase recruitment domain-containing protein 18,ICBR,P57730,59082,CARD18,Human,RFU,Protein,20,S2
X18194.18,18194-18,3,SL020932,Fatty acid-binding protein 9,FABP9,Q0Z7S8,646480,FABP9,Human,RFU,Protein,20,S1
X21390.68,21390-68,3,SL005477,L-dopachrome tautomerase,L-dopachrome tautomerase,P40126,1638,DCT,Human,RFU,Protein,20,S2
X21810.50,21810-50,3,SL002728,MART-1,MART-1,Q16655,2315,MLANA,Human,RFU,Protein,20,S2
X2192.63,2192-63,10,SL003168,C-C motif chemokine 27,CTACK,Q9Y4X3,10850,CCL27,Human,RFU,Protein,20,S1
X22378.2,22378-2,3,SL006625,Keratin 34,Keratin 34,O76011,100653049,KRT34,Human,RFU,Protein,20,S2
X22483.109,22483-109,3,SL022806,"Keratin, type II cytoskeletal 71",K2C71,Q3SY84,112802,KRT71,Human,RFU,Protein,20,S2
X22568.7,22568-7,3,SL009055,Desmoglein-4,DSG4,Q86SJ6,147409,DSG4,Human,RFU,Protein,20,S1
X2723.9,2723-9,2,SL005178,Interleukin-37,IL-1F7,Q9NZH6,27178,IL37,Human,RFU,Protein,20,S1
X3361.26,3361-26,2,SL010610,C-type lectin domain family 4 member K,CLC4K,Q9UJ71,50489,CD207,Human,RFU,Protein,20,S1
X5758.49,5758-49,3,SL003864,Kallikrein-9,kallikrein 9,Q9UKQ9,284366,KLK9,Human,RFU,Protein,20,S1
X5963.9,5963-9,3,SL010588,Dermokine,Dermokine,Q6E0U4,93099,DMKN,Human,RFU,Protein,20,S2
X6256.9,6256-9,3,SL012397,Lymphocyte antigen 6 complex locus protein G6c,LY66C,O95867,80740,LY6G6C,Human,RFU,Protein,20,S2
X6413.79,6413-79,3,SL017457,Lipase member K,LIPK,Q5VXJ0,643414,LIPK,Human,RFU,Protein,20,S1
X6551.94,6551-94,3,SL011969,Serpin A12,Vaspin,Q8IW75,145264,SERPINA12,Human,RFU,Protein,20,S1
X6961.14,6961-14,3,SL012609,Insulin growth factor-like family member 3,IGFL3,Q6UXB1,388555,IGFL3,Human,RFU,Protein,20,S2
X6969.14,6969-14,3,SL012731,WAP four-disulfide core domain protein 5,WFDC5,Q8TCV5,149708,WFDC5,Human,RFU,Protein,20,S1
X7085.81,7085-81,3,SL011989,Corneodesmosin,CDSN,Q15517,1041,CDSN,Human,RFU,Protein,20,S1
X8097.77,8097-77,3,SL018395,Lipase member N,LIPN,Q5VXI9,643418,LIPN,Human,RFU,Protein,20,S1
