MatchedGene,Gene description
PCDH9,Protocadherin 9
SLITRK1,SLIT and NTRK like family member 1
FAM163B,Family with sequence similarity 163 member B
LCTL,Lactase like
STMN2,Stathmin 2
C11orf87,Chromosome 11 open reading frame 87
C10orf105,Chromosome 10 open reading frame 105
GABBR1,Gamma-aminobutyric acid type B receptor subunit 1
GPR101,G protein-coupled receptor 101
PCDHGB1,"Protocadherin gamma subfamily B, 1"
PRKAR1B,Protein kinase cAMP-dependent type I regulatory subunit beta
THRA,Thyroid hormone receptor alpha
RGS7,Regulator of G protein signaling 7
DPYSL5,Dihydropyrimidinase like 5
TMOD2,Tropomodulin 2
ARPP21,CAMP regulated phosphoprotein 21
DGKB,Diacylglycerol kinase beta
SNAP25,Synaptosome associated protein 25
SHANK1,SH3 and multiple ankyrin repeat domains 1
SYNGR3,Synaptogyrin 3
TMEM132D,Transmembrane protein 132D
VSNL1,Visinin like 1
NAP1L2,Nucleosome assembly protein 1 like 2
KCNN1,Potassium calcium-activated channel subfamily N member 1
GPR26,G protein-coupled receptor 26
PLPP4,Phospholipid phosphatase 4
HTR2A,5-hydroxytryptamine receptor 2A
HTR6,5-hydroxytryptamine receptor 6
ACBD7,Acyl-CoA binding domain containing 7
AK5,Adenylate kinase 5
GABBR2,Gamma-aminobutyric acid type B receptor subunit 2
TIAM1,TIAM Rac1 associated GEF 1
TRIL,TLR4 interactor with leucine rich repeats
PIANP,PILR alpha associated neural protein
RAB6B,"RAB6B, member RAS oncogene family"
AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
GAP43,Growth associated protein 43
PMP2,Peripheral myelin protein 2
NPTXR,Neuronal pentraxin receptor
NCAN,Neurocan
MOG,Myelin oligodendrocyte glycoprotein
C1QL2,Complement C1q like 2
GHRH,Growth hormone releasing hormone
MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1
OMG,Oligodendrocyte myelin glycoprotein
SNPH,Syntaphilin
SYT4,Synaptotagmin 4
RAB3A,"RAB3A, member RAS oncogene family"
GAS7,Growth arrest specific 7
TAGLN3,Transgelin 3
HPCAL1,Hippocalcin like 1
RGS4,Regulator of G protein signaling 4
NRGN,Neurogranin
SEPTIN3,Septin 3
CPLX1,Complexin 1
PEA15,Proliferation and apoptosis adaptor protein 15
HS6ST3,Heparan sulfate 6-O-sulfotransferase 3
HS3ST4,Heparan sulfate-glucosamine 3-sulfotransferase 4
SEZ6L,Seizure related 6 homolog like
CRH,Corticotropin releasing hormone
PDYN,Prodynorphin
GFAP,Glial fibrillary acidic protein
IL1RAPL1,Interleukin 1 receptor accessory protein like 1
GRIK2,Glutamate ionotropic receptor kainate type subunit 2
MAG,Myelin associated glycoprotein
BEND6,BEN domain containing 6
RGS14,Regulator of G protein signaling 14
GP1BB,Glycoprotein Ib platelet subunit beta
C1QTNF4,C1q and TNF related 4
KCTD4,Potassium channel tetramerization domain containing 4
PDE1B,Phosphodiesterase 1B
ADGRB1,Adhesion G protein-coupled receptor B1
RELN,Reelin
B3GAT1,"Beta-1,3-glucuronyltransferase 1"
CBLN2,Cerebellin 2 precursor
WNT10B,Wnt family member 10B
