MatchedGene,Gene description
TFF2,Trefoil factor 2
A4GNT,"Alpha-1,4-N-acetylglucosaminyltransferase"
ANXA10,Annexin A10
CTSE,Cathepsin E
CHIA,Chitinase acidic
CBLIF,Cobalamin binding intrinsic factor
XYLT2,Xylosyltransferase 2
PGA4,Pepsinogen A4
GHRL,Ghrelin and obestatin prepropeptide
CA9,Carbonic anhydrase 9
PDILT,"Protein disulfide isomerase like, testis expressed"
VSIG2,V-set and immunoglobulin domain containing 2
VSIG1,V-set and immunoglobulin domain containing 1
TFF1,Trefoil factor 1
ATP4B,ATPase H+/K+ transporting subunit beta
CEACAM20,CEA cell adhesion molecule 20
INSL5,Insulin like 5
ALPI,"Alkaline phosphatase, intestinal"
CLCA1,Chloride channel accessory 1
BTNL3,Butyrophilin like 3
IGHA2,Immunoglobulin heavy constant alpha 2 (A2m marker)
REG4,Regenerating family member 4
PLS1,Plastin 1
KRT20,Keratin 20
SULT1A3,Sulfotransferase family 1A member 3
TPSG1,Tryptase gamma 1
HHLA2,HERV-H LTR-associating 2
FABP2,Fatty acid binding protein 2
GIP,Gastric inhibitory polypeptide
CDH17,Cadherin 17
DEFA5,Defensin alpha 5
NAALADL1,N-acetylated alpha-linked acidic dipeptidase like 1
APOA4,Apolipoprotein A4
SPINK4,Serine peptidase inhibitor Kazal type 4
MEP1A,Meprin A subunit alpha
B3GALT5,"Beta-1,3-galactosyltransferase 5"
RETNLB,Resistin like beta
ATOH1,Atonal bHLH transcription factor 1
CDX1,Caudal type homeobox 1
LYPD8,LY6/PLAUR domain containing 8
DHRS11,Dehydrogenase/reductase 11
GIMD1,GIMAP family P-loop NTPase domain containing 1
VIL1,Villin 1
LGALS4,Galectin 4
TMPRSS15,Transmembrane serine protease 15
ASAH2,N-acylsphingosine amidohydrolase 2
CA7,Carbonic anhydrase 7
PYY,Peptide YY
SCT,Secretin
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase 7
MLN,Motilin
GUCA2B,Guanylate cyclase activator 2B
FABP6,Fatty acid binding protein 6
HEPACAM2,HEPACAM family member 2
C17orf78,Chromosome 17 open reading frame 78
CHST5,Carbohydrate sulfotransferase 5
CEACAM7,CEA cell adhesion molecule 7
PLAAT2,Phospholipase A and acyltransferase 2
NTS,Neurotensin
ZG16,Zymogen granule protein 16
LCT,Lactase
BTNL8,Butyrophilin like 8
ADAMDEC1,ADAM like decysin 1
HTN1,Histatin 1
CST5,Cystatin D
CA6,Carbonic anhydrase 6
CST4,Cystatin S
BPIFA2,BPI fold containing family A member 2
STATH,Statherin
AGFG2,ArfGAP with FG repeats 2
GDF5,Growth differentiation factor 5
CCL28,C-C motif chemokine ligand 28
LPO,Lactoperoxidase
OPRPN,Opiorphin prepropeptide
DNASE2B,Deoxyribonuclease 2 beta
SMR3A,Submaxillary gland androgen regulated protein 3A
AMY1A,Amylase alpha 1A
ZG16B,Zymogen granule protein 16B
PRR27,Proline rich 27
KLK13,Kallikrein related peptidase 13
TGM1,Transglutaminase 1
ADH7,"Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
CSTB,Cystatin B
CYSRT1,Cysteine rich tail 1
GBP6,Guanylate binding protein family member 6
