MatchedGene,Gene description
STAR,Steroidogenic acute regulatory protein
AKR1B1,Aldo-keto reductase family 1 member B
SCARB1,Scavenger receptor class B member 1
PCDHAC1,"Protocadherin alpha subfamily C, 1"
CD109,CD109 molecule
ALCAM,Activated leukocyte cell adhesion molecule
CHGA,Chromogranin A
PCDHAC2,"Protocadherin alpha subfamily C, 2"
TINF2,TERF1 interacting nuclear factor 2
VDR,Vitamin D receptor
TPO,Thyroid peroxidase
SLC26A7,Solute carrier family 26 member 7
TSHR,Thyroid stimulating hormone receptor
IGFBPL1,Insulin like growth factor binding protein like 1
SCUBE3,"Signal peptide, CUB domain and EGF like domain containing 3"
GH1,Growth hormone 1
POMC,Proopiomelanocortin
FSHB,Follicle stimulating hormone subunit beta
LHB,Luteinizing hormone subunit beta
GAL,Galanin and GMAP prepropeptide
CGA,"Glycoprotein hormones, alpha polypeptide"
NPTX2,Neuronal pentraxin 2
SIX6,SIX homeobox 6
AMY2B,Amylase alpha 2B
REG1A,Regenerating family member 1 alpha
CPB1,Carboxypeptidase B1
PNLIPRP2,Pancreatic lipase related protein 2 (gene/pseudogene)
REG3G,Regenerating family member 3 gamma
PNLIP,Pancreatic lipase
KIRREL2,Kirre like nephrin family adhesion molecule 2
REG1B,Regenerating family member 1 beta
PRSS3,Serine protease 3
AMY2A,Amylase alpha 2A
CPA1,Carboxypeptidase A1
PRSS1,Serine protease 1
IL22RA1,Interleukin 22 receptor subunit alpha 1
PPY,Pancreatic polypeptide
INS,Insulin
GCG,Glucagon
PLA2G1B,Phospholipase A2 group IB
PRSS2,Serine protease 2
CTRC,Chymotrypsin C
CTRB2,Chymotrypsinogen B2
CTRB1,Chymotrypsinogen B1
CLPS,Colipase
CELA3B,Chymotrypsin like elastase 3B
GPHA2,Glycoprotein hormone subunit alpha 2
PNLIPRP1,Pancreatic lipase related protein 1
MATN4,Matrilin 4
SERPINI2,Serpin family I member 2
CELA2A,Chymotrypsin like elastase 2A
RNASE1,"Ribonuclease A family member 1, pancreatic"
COCH,Cochlin
PRDX4,Peroxiredoxin 4
CUZD1,CUB and zona pellucida like domains 1
ERO1B,Endoplasmic reticulum oxidoreductase 1 beta
SPINK1,Serine peptidase inhibitor Kazal type 1
CTRL,Chymotrypsin like
CPA2,Carboxypeptidase A2
ERP27,Endoplasmic reticulum protein 27
CEL,Carboxyl ester lipase
