MatchedGene,Gene description
MUCL1,Mucin like 1
GSTM5,Glutathione S-transferase mu 5
BTN1A1,Butyrophilin subfamily 1 member A1
STC2,Stanniocalcin 2
MMP10,Matrix metallopeptidase 10
SNTN,"Sentan, cilia apical structure protein"
KCNRG,Potassium channel regulator
OBP2A,Odorant binding protein 2A
C22orf15,Chromosome 22 open reading frame 15
ZP4,Zona pellucida glycoprotein 4
EBI3,Epstein-Barr virus induced 3
ERVV-1,"Endogenous retrovirus group V member 1, envelope"
CSH1,Chorionic somatomammotropin hormone 1
WNT3A,Wnt family member 3A
PSG1,Pregnancy specific beta-1-glycoprotein 1
FLT1,Fms related receptor tyrosine kinase 1
EGFL6,EGF like domain multiple 6
MAGEA8,MAGE family member A8
LGALS13,Galectin 13
HBG2,Hemoglobin subunit gamma 2
LIN28B,Lin-28 homolog B
CGB3,Chorionic gonadotropin subunit beta 3
BMP5,Bone morphogenetic protein 5
FCGR2B,Fc gamma receptor IIb
XAGE2,X antigen family member 2
HGF,Hepatocyte growth factor
HAPLN1,Hyaluronan and proteoglycan link protein 1
PAPPA,Pappalysin 1
ADAM12,ADAM metallopeptidase domain 12
HSD17B1,Hydroxysteroid 17-beta dehydrogenase 1
GPC3,Glypican 3
PAPPA2,Pappalysin 2
PSG8,Pregnancy specific beta-1-glycoprotein 8
PSG2,Pregnancy specific beta-1-glycoprotein 2
INSL4,Insulin like 4
PSG3,Pregnancy specific beta-1-glycoprotein 3
PSG6,Pregnancy specific beta-1-glycoprotein 6
IGF2,Insulin like growth factor 2
PRG2,"Proteoglycan 2, pro eosinophil major basic protein"
PSG11,Pregnancy specific beta-1-glycoprotein 11
NOTUM,"Notum, palmitoleoyl-protein carboxylesterase"
TFPI2,Tissue factor pathway inhibitor 2
