MatchedGene,Gene description
CFHR2,Complement factor H related 2
MBL2,Mannose binding lectin 2
F9,Coagulation factor IX
CFHR5,Complement factor H related 5
A1BG,Alpha-1-B glycoprotein
SERPINC1,Serpin family C member 1
APOA2,Apolipoprotein A2
F2,"Coagulation factor II, thrombin"
CFHR3,Complement factor H related 3
HPX,Hemopexin
ITIH1,Inter-alpha-trypsin inhibitor heavy chain 1
SERPINA7,Serpin family A member 7
HAO1,Hydroxyacid oxidase 1
APOH,Apolipoprotein H
ITIH2,Inter-alpha-trypsin inhibitor heavy chain 2
CFHR4,Complement factor H related 4
APOF,Apolipoprotein F
FGG,Fibrinogen gamma chain
AGXT,Alanine--glyoxylate aminotransferase
ADH1A,"Alcohol dehydrogenase 1A (class I), alpha polypeptide"
C9,Complement C9
CFHR1,Complement factor H related 1
APOA5,Apolipoprotein A5
F13B,Coagulation factor XIII B chain
HRG,Histidine rich glycoprotein
INHBC,Inhibin subunit beta C
RDH16,Retinol dehydrogenase 16
ALB,Albumin
GDF2,Growth differentiation factor 2
APOC2,Apolipoprotein C2
SAA4,"Serum amyloid A4, constitutive"
SERPINA10,Serpin family A member 10
ITIH3,Inter-alpha-trypsin inhibitor heavy chain 3
PON1,Paraoxonase 1
F7,Coagulation factor VII
SERPINA11,Serpin family A member 11
CPB2,Carboxypeptidase B2
AKR1D1,Aldo-keto reductase family 1 member D1
CRP,C-reactive protein
APCS,"Amyloid P component, serum"
AMBP,Alpha-1-microglobulin/bikunin precursor
VTN,Vitronectin
HGFAC,HGF activator
CPN1,Carboxypeptidase N subunit 1
LECT2,Leukocyte cell derived chemotaxin 2
ANG,Angiogenin
ASGR2,Asialoglycoprotein receptor 2
TDO2,"Tryptophan 2,3-dioxygenase"
CCL16,C-C motif chemokine ligand 16
PGLYRP2,Peptidoglycan recognition protein 2
SERPINA1,Serpin family A member 1
CA5A,Carbonic anhydrase 5A
ASGR1,Asialoglycoprotein receptor 1
FMO3,Flavin containing dimethylaniline monoxygenase 3
PROC,"Protein C, inactivator of coagulation factors Va and VIIIa"
ITIH4,Inter-alpha-trypsin inhibitor heavy chain 4
ACOT12,Acyl-CoA thioesterase 12
PZP,PZP alpha-2-macroglobulin like
ADH4,"Alcohol dehydrogenase 4 (class II), pi polypeptide"
C5,Complement C5
KLKB1,Kallikrein B1
FETUB,Fetuin B
APOC3,Apolipoprotein C3
LBP,Lipopolysaccharide binding protein
LEAP2,Liver enriched antimicrobial peptide 2
MAT1A,Methionine adenosyltransferase 1A
TAT,Tyrosine aminotransferase
ATF5,Activating transcription factor 5
CFB,Complement factor B
SAA1,Serum amyloid A1
SAA2,Serum amyloid A2
GCKR,Glucokinase regulator
RBP4,Retinol binding protein 4
C8G,Complement C8 gamma chain
SERPINA6,Serpin family A member 6
AKR1C4,Aldo-keto reductase family 1 member C4
ARID3C,AT-rich interaction domain 3C
GC,GC vitamin D binding protein
SERPINF2,Serpin family F member 2
CPN2,Carboxypeptidase N subunit 2
TFR2,Transferrin receptor 2
ADH6,Alcohol dehydrogenase 6 (class V)
OIT3,Oncoprotein induced transcript 3
ANGPTL3,Angiopoietin like 3
BCHE,Butyrylcholinesterase
C4BPB,Complement component 4 binding protein beta
HSD11B1,Hydroxysteroid 11-beta dehydrogenase 1
AFM,Afamin
ANGPTL8,Angiopoietin like 8
