MatchedGene,Gene description
CETN1,Centrin 1
LYZL2,Lysozyme like 2
IQCF1,IQ motif containing F1
PPP3R2,"Protein phosphatase 3 regulatory subunit B, beta"
UBQLN3,Ubiquilin 3
PDHA2,Pyruvate dehydrogenase E1 subunit alpha 2
PGK 2.00,Phosphoglycerate kinase 2
FTMT,Ferritin mitochondrial
DNAJB8,DnaJ heat shock protein family (Hsp40) member B8
FNDC8,Fibronectin type III domain containing 8
SUN5,Sad1 and UNC84 domain containing 5
SPACA1,Sperm acrosome associated 1
TCP11,T-complex 11
SUN3,Sad1 and UNC84 domain containing 3
DKKL1,Dickkopf like acrosomal protein 1
IQCF3,IQ motif containing F3
ADAM30,ADAM metallopeptidase domain 30
SPANXN4,SPANX family member N4
DDI1,DNA damage inducible 1 homolog 1
TSSK2,Testis specific serine kinase 2
TSSK1B,Testis specific serine kinase 1B
HDGFL1,HDGF like 1
CST8,Cystatin 8
PDCL2,Phosducin like 2
LDHC,Lactate dehydrogenase C
C20orf173,Chromosome 20 open reading frame 173
TMCO5A,Transmembrane and coiled-coil domains 5A
SPANXA1,"Sperm protein associated with the nucleus, X-linked, family member A1"
C1orf185,Chromosome 1 open reading frame 185
VCX3A,Variable charge X-linked 3A
TRIML1,Tripartite motif family like 1
GAGE2A,G antigen 2A
DMRTC2,DMRT like family C2
FATE1,Fetal and adult testis expressed 1
ZPBP2,Zona pellucida binding protein 2
PRSS37,Serine protease 37
TGIF2LX,TGFB induced factor homeobox 2 like X-linked
RNF148,Ring finger protein 148
YBX2,Y-box binding protein 2
CTAG1A,Cancer/testis antigen 1A
DMRTB1,DMRT like family B with proline rich C-terminal 1
ADAM29,ADAM metallopeptidase domain 29
VCX,Variable charge X-linked
SPATA22,Spermatogenesis associated 22
TBC1D28,TBC1 domain family member 28
SPATA31D4,SPATA31 subfamily D member 4
RBM46,RNA binding motif protein 46
SPANXN3,SPANX family member N3
EQTN,Equatorin
GJA8,Gap junction protein alpha 8
BRDT,Bromodomain testis associated
IL13,Interleukin 13
NUP210L,Nucleoporin 210 like
PABPC3,Poly(A) binding protein cytoplasmic 3
DUSP21,Dual specificity phosphatase 21
SEL1L2,SEL1L2 adaptor subunit of ERAD E3 ligase
TGIF2LY,TGFB induced factor homeobox 2 like Y-linked
FTHL17,Ferritin heavy chain like 17
PIWIL1,Piwi like RNA-mediated gene silencing 1
TMEM225B,Transmembrane protein 225B
ACRV1,Acrosomal vesicle protein 1
EXD1,Exonuclease 3'-5' domain containing 1
ZPBP,Zona pellucida binding protein
CRISP2,Cysteine rich secretory protein 2
CD200R1L,CD200 receptor 1 like
PFN4,Profilin family member 4
IZUMO4,IZUMO family member 4
MAGEA3,MAGE family member A3
SPACA5,Sperm acrosome associated 5
SPATA9,Spermatogenesis associated 9
CT83,Cancer/testis antigen 83
MAGEA6,MAGE family member A6
GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
TPPP2,Tubulin polymerization promoting protein family member 2
SLFNL1,Schlafen like 1
LRRC74A,Leucine rich repeat containing 74A
OOSP2,Oocyte secreted protein 2
H2AC1,H2A clustered histone 1
ADAM32,ADAM metallopeptidase domain 32
DHH,Desert hedgehog signaling molecule
SSX4,SSX family member 4
CRYGC,Crystallin gamma C
CSTL1,Cystatin like 1
CT45A1,Cancer/testis antigen family 45 member A1
CDY1,Chromodomain Y-linked 1
GTSF1,Gametocyte specific factor 1
GAGE12F,G antigen 12F
IZUMO1,Izumo sperm-egg fusion 1
PRAME,PRAME nuclear receptor transcriptional regulator
TERB2,Telomere repeat binding bouquet formation protein 2
TOMM20L,Translocase of outer mitochondrial membrane 20 like
CT55,Cancer/testis antigen 55
FAM209B,Family with sequence similarity 209 member B
HSF2BP,Heat shock transcription factor 2 binding protein
RFPL3,Ret finger protein like 3
SPATA46,Spermatogenesis associated 46
EID3,EP300 interacting inhibitor of differentiation 3
SPA17,Sperm autoantigenic protein 17
ARRDC5,Arrestin domain containing 5
DNAJC5B,DnaJ heat shock protein family (Hsp40) member C5 beta
ETV2,ETS variant transcription factor 2
HORMAD2,HORMA domain containing 2
LRRC37A2,Leucine rich repeat containing 37 member A2
SPATA33,Spermatogenesis associated 33
C2orf73,Chromosome 2 open reading frame 73
C4orf36,Chromosome 4 open reading frame 36
DCUN1D1,Defective in cullin neddylation 1 domain containing 1
MAGEB10,MAGE family member B10
CCDC89,Coiled-coil domain containing 89
CSNK1A1L,Casein kinase 1 alpha 1 like
IL5,Interleukin 5
ROPN1B,Rhophilin associated tail protein 1B
SLC6A16,Solute carrier family 6 member 16
SPACA3,Sperm acrosome associated 3
SPATA24,Spermatogenesis associated 24
BAG5,BAG cochaperone 5
BTG4,BTG anti-proliferation factor 4
CDKN3,Cyclin dependent kinase inhibitor 3
DNAJC18,DnaJ heat shock protein family (Hsp40) member C18
MAGEA4,MAGE family member A4
PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase 1
PTCHD3,Patched domain containing 3 (gene/pseudogene)
SULT6B1,Sulfotransferase family 6B member 1
DDX25,DEAD-box helicase 25
DUSP15,Dual specificity phosphatase 15
LRRC52,Leucine rich repeat containing 52
PIH1D2,PIH1 domain containing 2
TEX29,Testis expressed 29
DEFB121,Defensin beta 121
DEFB128,Defensin beta 128
SPAG11A,Sperm associated antigen 11A
DEFB118,Defensin beta 118
DEFB110,Defensin beta 110
SPAG11B,Sperm associated antigen 11B
DEFB107A,Defensin beta 107A
DEFB127,Defensin beta 127
DEFB104A,Defensin beta 104A
NPFF,Neuropeptide FF-amide peptide precursor
DEFB129,Defensin beta 129
WFDC8,WAP four-disulfide core domain 8
DEFB113,Defensin beta 113
WFDC10A,WAP four-disulfide core domain 10A
DEFB135,Defensin beta 135
EDDM3B,Epididymal protein 3B
ADAM7,ADAM metallopeptidase domain 7
DEFB108B,Defensin beta 108B
CLPSL2,Colipase like 2
RNASE13,Ribonuclease A family member 13 (inactive)
DEFB112,Defensin beta 112
LCN8,Lipocalin 8
WFDC13,WAP four-disulfide core domain 13
WFDC11,WAP four-disulfide core domain 11
EDDM3A,Epididymal protein 3A
SPINK2,Serine peptidase inhibitor Kazal type 2
BMX,BMX non-receptor tyrosine kinase
DEFB115,Defensin beta 115
DEFB132,Defensin beta 132
SPINK13,Serine peptidase inhibitor Kazal type 13
PATE1,Prostate and testis expressed 1
ADGRG2,Adhesion G protein-coupled receptor G2
AP1S2,Adaptor related protein complex 1 subunit sigma 2
DEFB136,Defensin beta 136
DEFB119,Defensin beta 119
GPX5,Glutathione peroxidase 5
WFDC6,WAP four-disulfide core domain 6
EMILIN3,Elastin microfibril interfacer 3
ENPP5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5
METTL21C,"Methyltransferase 21C, AARS1 lysine"
KLK3,Kallikrein related peptidase 3
ACP3,Acid phosphatase 3
KLK4,Kallikrein related peptidase 4
MSMB,Microseminoprotein beta
POTEM,POTE ankyrin domain family member M
PATE4,Prostate and testis expressed 4
