MatchedGene,Gene description
SAG,S-antigen visual arrestin
AIPL1,Aryl hydrocarbon receptor interacting protein like 1
RCVRN,Recoverin
RS1,Retinoschisin 1
TULP1,TUB like protein 1
GUCA1B,Guanylate cyclase activator 1B
CNGB1,Cyclic nucleotide gated channel subunit beta 1
GUCA1A,Guanylate cyclase activator 1A
PDE6H,Phosphodiesterase 6H
NRL,Neural retina leucine zipper
EYS,Eyes shut homolog
LRIT2,"Leucine rich repeat, Ig-like and transmembrane domains 2"
LRIT3,"Leucine rich repeat, Ig-like and transmembrane domains 3"
RLBP1,Retinaldehyde binding protein 1
CLUL1,Clusterin like 1
TMEM237,Transmembrane protein 237
CABP2,Calcium binding protein 2
FABP12,Fatty acid binding protein 12
GNGT2,G protein subunit gamma transducin 2
FAIM,Fas apoptotic inhibitory molecule
KCNG4,Potassium voltage-gated channel modifier subfamily G member 4
PROM1,Prominin 1
RORB,RAR related orphan receptor B
STX3,Syntaxin 3
WIF1,WNT inhibitory factor 1
HCN1,Hyperpolarization activated cyclic nucleotide gated potassium channel 1
NRG4,Neuregulin 4
