MatchedGene,Gene description
GAN,Gigaxonin
DSC1,Desmocollin 1
CLEC2A,C-type lectin domain family 2 member A
DLX3,Distal-less homeobox 3
KLK5,Kallikrein related peptidase 5
KRTAP2-4,Keratin associated protein 2-4
CST6,Cystatin E/M
S100A3,S100 calcium binding protein A3
IL1F10,Interleukin 1 family member 10
CARD18,Caspase recruitment domain family member 18
FABP9,Fatty acid binding protein 9
DCT,Dopachrome tautomerase
MLANA,Melan-A
CCL27,C-C motif chemokine ligand 27
KRT34,Keratin 34
KRT71,Keratin 71
DSG4,Desmoglein 4
IL37,Interleukin 37
CD207,CD207 molecule
KLK9,Kallikrein related peptidase 9
DMKN,Dermokine
LY6G6C,Lymphocyte antigen 6 family member G6C
LIPK,Lipase family member K
SERPINA12,Serpin family A member 12
IGFL3,IGF like family member 3
WFDC5,WAP four-disulfide core domain 5
CDSN,Corneodesmosin
LIPN,Lipase family member N
