Analytes,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,NormGroup
X10382.1,10382-1,3,SL006803,Angiopoietin-related protein 3,ANGL3,Q9Y5C1,27329,ANGPTL3,Human,RFU,Protein,20,S2
X10445.20,10445-20,3,SL004747,Apolipoprotein M,ApoM,O95445,55937,APOM,Human,RFU,Protein,20,S2
X10663.42,10663-42,3,SL018014,Insulin-induced gene 1 protein,INSI1,O15503,3638,INSIG1,Human,RFU,Protein,20,S1
X11239.49,11239-49,3,SL019365,Transmembrane protease serine 6,TMPS6,Q8IU80,164656,TMPRSS6,Human,RFU,Protein,20,S2
X11241.8,11241-8,3,SL011173,Argininosuccinate lyase,ARLY,P04424,435,ASL,Human,RFU,Protein,20,S2
X11318.20,11318-20,3,SL004840,Apolipoprotein A-V,Apo A-V,Q6Q788,116519,APOA5,Human,RFU,Protein,20,S2
X11537.12,11537-12,3,SL008830,Transferrin receptor protein 2,TFR2,Q9UP52,7036,TFR2,Human,RFU,Protein,20,S1
X12370.30,12370-30,3,SL006348,Apolipoprotein F,Apo F,Q13790,319,APOF,Human,RFU,Protein,20,S2
X12423.38,12423-38,3,SL019697,APOBEC1 complementation factor,A1CF,Q9NQ94,29974,A1CF,Human,RFU,Protein,20,S1
X12575.30,12575-30,3,SL008027,"C-1-tetrahydrofolate synthase, cytoplasmic",C1TC,P11586,4522,MTHFD1,Human,RFU,Protein,20,S2
X12881.17,12881-17,3,SL019970,Retinol dehydrogenase 16,RDH16,O75452,8608,RDH16,Human,RFU,Protein,20,S2
X13119.26,13119-26,3,SL004467,Protein Z-dependent protease inhibitor,protein Z inhibitor,Q9UK55,51156,SERPINA10,Human,RFU,Protein,20,S2
X13125.45,13125-45,3,SL000616,Vitronectin,Vitronectin,P04004,7448,VTN,Human,RFU,Protein,20,S2
X13704.5,13704-5,3,SL014847,"Hydroxymethylglutaryl-CoA synthase, mitochondrial",HMCS2,P54868,3158,HMGCS2,Human,RFU,Protein,20,S1
X13717.15,13717-15,3,SL006542,Ficolin-2,FCN2,Q15485,2220,FCN2,Human,RFU,Protein,20,S2
X13722.105,13722-105,3,SL000325,Complement component C9,C9,P02748,735,C9,Human,RFU,Protein,20,S3
X13741.36,13741-36,3,SL000462,Insulin-like growth factor-binding protein 1,IGFBP-1,P08833,3484,IGFBP1,Human,RFU,Protein,20,S2
