Analytes,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,NormGroup
X10023.32,10023-32,3,SL004071,Vitamin D3 receptor,VDR,P11473,7421,VDR,Human,RFU,Protein,20,S1
X10085.25,10085-25,3,SL001714,"Steroidogenic acute regulatory protein, mitochondrial",STAR,P49675,6770,STAR,Human,RFU,Protein,20,S2
X10439.57,10439-57,3,SL005393,Alpha-amylase 2B,Alpha-amylase 2B,P19961,280,AMY2B,Human,RFU,Protein,20,S1
X10638.1,10638-1,3,SL018685,TERF1-interacting nuclear factor 2,TINF2,Q9BSI4,26277,TINF2,Human,RFU,Protein,20,S1
X11184.51,11184-51,3,SL002762,Chromogranin-A,CgA,P10645,1113,CHGA,Human,RFU,Protein,20,S2
X13095.51,13095-51,3,SL005357,Lithostathine-1-alpha,PSP,P05451,5967,REG1A,Human,RFU,Protein,20,S2
X13979.3,13979-3,3,SL020254,Anion exchange transporter,S26A7,Q8TE54,115111,SLC26A7,Human,RFU,Protein,20,S1
X14056.4,14056-4,3,SL013948,Glycoprotein hormones alpha chain,Glycoprotein hormones a-chain,P01215,1081,CGA,Human,RFU,Protein,20,S1
X15375.49,15375-49,3,SL011428,Carboxypeptidase B,Carboxypeptidase B1,P15086,1360,CPB1,Human,RFU,Protein,20,S2
X15390.3,15390-3,3,SL004430,Galanin,Galanin,P22466,51083,GAL,Human,RFU,Protein,20,S1
X15471.29,15471-29,3,SL012442,Pancreatic lipase-related protein 2,LIPR2,P54317,5408,PNLIPRP2,Human,RFU,Protein,20,S2
X15476.6,15476-6,3,SL007493,Regenerating islet-derived protein 3-gamma,REG3G,Q6UW15,130120,REG3G,Human,RFU,Protein,20,S2
X15613.16,15613-16,3,SL012420,Pancreatic triacylglycerol lipase,LIPP,P16233,5406,PNLIP,Human,RFU,Protein,20,S2
X16606.85,16606-85,3,SL003659,Aldose reductase,Aldose reductase,P15121,231,AKR1B1,Human,RFU,Protein,20,S2
X16609.106,16609-106,3,SL012592,Kin of IRRE-like protein 2,KIRR2,Q6UWL6,84063,KIRREL2,Human,RFU,Protein,20,S2
X16770.3,16770-3,3,SL012438,Lithostathine-1-beta,REG1B,P48304,5968,REG1B,Human,RFU,Protein,20,S2
X16773.29,16773-29,3,SL012672,"Signal peptide, CUB and EGF-like domain-containing protein 3",SCUB3,Q8IX30,222663,SCUBE3,Human,RFU,Protein,20,S2
X18864.7,18864-7,3,SL006480,Trypsin-3,TRY3,P35030,5646,PRSS3,Human,RFU,Protein,20,S2
X18917.53,18917-53,3,SL005382,Pancreatic alpha-amylase,Pancreatic alpha-amylase,P04746,279,AMY2A,Human,RFU,Protein,20,S2
X19760.26,19760-26,3,SL009336,Carboxypeptidase A1,CBPA1,P15085,1357,CPA1,Human,RFU,Protein,20,S2
X20534.6,20534-6,3,SL007548,Scavenger receptor class B member 1,SCRB1,Q8WTV0,949,SCARB1,Human,RFU,Protein,20,S2
X20987.21,20987-21,3,SL022227,Homeobox protein SIX6,SIX6,O95475,4990,SIX6,Human,RFU,Protein,20,S1
X21503.12,21503-12,3,SL007132,Thyrotropin receptor,TSHR,P16473,7253,TSHR,Human,RFU,Protein,20,S1
X2558.51,2558-51,3,SL000300,Beta-endorphin,b-Endorphin,P01189,5443,POMC,Human,RFU,Protein,20,S1
X3049.61,3049-61,2,SL000603,Trypsin-1,Trypsin,P07477,5644,PRSS1,Human,RFU,Protein,20,S2
X3290.50,3290-50,2,SL008773,CD109 antigen,CD109,Q6YHK3,135228,CD109,Human,RFU,Protein,20,S2
X3620.67,3620-67,1,SL007806,Interleukin-22 receptor subunit alpha-1,IL22RA1,Q8N6P7,58985,IL22RA1,Human,RFU,Protein,20,S2
X3873.51,3873-51,2,SL000588,Thyroid peroxidase,TMA,P07202,7173,TPO,Human,RFU,Protein,20,S2
X4588.1,4588-1,2,SL011499,Pancreatic hormone,PH,P01298,5539,PPY,Human,RFU,Protein,20,S1
X4883.56,4883-56,2,SL000021,Insulin,Insulin,P01308,3630,INS,Human,RFU,Protein,20,S1
X4891.50,4891-50,1,SL000433,Glucagon,Glucagon,P01275,2641,GCG,Human,RFU,Protein,20,S1
X4910.21,4910-21,1,SL004064,Phospholipase A2,GIB,P04054,5319,PLA2G1B,Human,RFU,Protein,20,S2
X5034.79,5034-79,1,SL010388,Trypsin-2,Trypsin 2,P07478,5645,PRSS2,Human,RFU,Protein,20,S2
