Analytes,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,NormGroup
X10447.18,10447-18,3,SL018138,Polyadenylate-binding protein 3,PABP3,Q9H361,5042,PABPC3,Human,RFU,Protein,20,S2
X10507.166,10507-166,3,SL009308,Acrosomal protein SP-10,sperm protein 10,P26436,56,ACRV1,Human,RFU,Protein,20,S1
X10557.6,10557-6,3,SL018003,Testis-expressed sequence 29 protein,TEX29,Q8N6K0,121793,TEX29,Human,RFU,Protein,20,S2
X10572.65,10572-65,3,SL012372,Cystatin-8,CST8,O60676,10047,CST8,Human,RFU,Protein,20,S2
X10620.21,10620-21,3,SL000548,Beta-microseminoprotein,PSP-94,P08118,4477,MSMB,Human,RFU,Protein,20,S2
X10624.45,10624-45,3,SL018582,Serine protease inhibitor Kazal-type 13,ISK13,Q1W4C9,153218,SPINK13,Human,RFU,Protein,20,S1
X10667.78,10667-78,3,SL018036,Uncharacterized protein C1orf185,CA185,Q5T7R7,284546,C1orf185,Human,RFU,Protein,20,S1
X10710.23,10710-23,3,SL012618,Zona pellucida-binding protein 2,ZPBP2,Q6X784,124626,ZPBP2,Human,RFU,Protein,20,S1
X10753.31,10753-31,3,SL018585,Disintegrin and metalloproteinase domain-containing protein 7,ADAM7,Q9H2U9,8756,ADAM7,Human,RFU,Protein,20,S2
X10767.52,10767-52,3,SL018836,G-protein coupled receptor 64,GPR64,Q8IZP9,10149,ADGRG2,Human,RFU,Protein,20,S1
X10785.8,10785-8,3,SL018337,Leucine-rich repeat-containing protein 52,LRC52,Q8N7C0,440699,LRRC52,Human,RFU,Protein,20,S2
X10817.26,10817-26,3,SL018588,TOMM20-like protein 1,TO20L,Q6UXN7,387990,TOMM20L,Human,RFU,Protein,20,S2
X11071.1,11071-1,3,SL000481,Interleukin-5,IL-5,P05113,3567,IL5,Human,RFU,Protein,20,S1
X11162.37,11162-37,3,SL019313,Equatorin,EQTN,Q9NQ60,54586,EQTN,Human,RFU,Protein,20,S1
X11179.7,11179-7,3,SL006717,Testis-specific serine/threonine-protein kinase 1,TSSK1,Q9BXA7,83942,TSSK1B,Human,RFU,Protein,20,S2
X11260.47,11260-47,3,SL012729,SUN domain-containing protein 5,SPA4L,Q8TC36,140732,SUN5,Human,RFU,Protein,20,S1
X11456.2,11456-2,3,SL019448,Melanoma-associated antigen B10,MAGBA,Q96LZ2,139422,MAGEB10,Human,RFU,Protein,20,S1
X12576.21,12576-21,3,SL002732,Melanoma-associated antigen 3,MAGE-3,P43357,4102,MAGEA3,Human,RFU,Protein,20,S2
X12711.19,12711-19,3,SL007244,Gap junction alpha-8 protein,CXA8,P48165,2703,GJA8,Human,RFU,Protein,20,S1
X12743.18,12743-18,3,SL015328,BAG family molecular chaperone regulator 5,BAG5,Q9UL15,9529,BAG5,Human,RFU,Protein,20,S1
X12748.6,12748-6,3,SL019854,Bromodomain testis-specific protein,BRDT,Q58F21,676,BRDT,Human,RFU,Protein,20,S1
X12793.4,12793-4,3,SL019894,Piwi-like protein 1,PIWL1,Q96J94,9271,PIWIL1,Human,RFU,Protein,20,S1
X12800.5,12800-5,3,SL019890,Tubulin polymerization-promoting protein family member 2,TPPP2,P59282,122664,TPPP2,Human,RFU,Protein,20,S2
X12838.28,12838-28,3,SL019935,Dual specificity protein phosphatase 15,DUS15,Q9H1R2,128853,DUSP15,Human,RFU,Protein,20,S1
X13056.18,13056-18,3,SL019585,Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5,S6A16,Q9GZN6,28968,SLC6A16,Human,RFU,Protein,20,S1
X13374.4,13374-4,3,SL012530,Beta-defensin 113,DB113,Q30KQ7,245927,DEFB113,Human,RFU,Protein,20,S2
X13405.61,13405-61,3,SL012422,Serine protease inhibitor Kazal-type 2,ISK2,P20155,6691,SPINK2,Human,RFU,Protein,20,S2
X13412.5,13412-5,3,SL012556,WAP four-disulfide core domain protein 6,WFDC6,Q9BQY6,140870,WFDC6,Human,RFU,Protein,20,S1
X13429.3,13429-3,3,SL012827,WAP four-disulfide core domain protein 10A,WF10A,Q9H1F0,140832,WFDC10A,Human,RFU,Protein,20,S2
X13439.6,13439-6,3,SL020093,IQ domain-containing protein F3,IQCF3,P0C7M6,401067,IQCF3,Human,RFU,Protein,20,S1
X13517.3,13517-3,3,SL020152,Patched domain-containing protein 3,PTHD3,Q3KNS1,374308,PTCHD3,Human,RFU,Protein,20,S1
X13549.15,13549-15,3,SL020150,Disintegrin and metalloproteinase domain-containing protein 29,ADA29,Q9UKF5,11086,ADAM29,Human,RFU,Protein,20,S1
X13699.6,13699-6,3,SL000062,Prostate-specific antigen,PSA,P07288,354,KLK3,Human,RFU,Protein,20,S1
X13958.5,13958-5,3,SL020270,Probable RNA-binding protein 46,RBM46,Q8TBY0,166863,RBM46,Human,RFU,Protein,20,S1
X13984.23,13984-23,3,SL020293,ATP-dependent RNA helicase DDX25,DDX25,Q9UHL0,29118,DDX25,Human,RFU,Protein,20,S1
X14085.28,14085-28,3,SL001718,Interleukin-13,IL-13,P35225,3596,IL13,Human,RFU,Protein,20,S2
X14178.18,14178-18,3,SL007463,Cyclin-dependent kinase inhibitor 3,CDKN3,Q16667,1033,CDKN3,Human,RFU,Protein,20,S1
X14192.31,14192-31,3,SL019930,Phosducin-like protein 2,PDCL2,Q8N4E4,132954,PDCL2,Human,RFU,Protein,20,S2
X16309.30,16309-30,3,SL010381,Dickkopf-like protein 1,Soggy-1,Q9UK85,27120,DKKL1,Human,RFU,Protein,20,S2
X17366.6,17366-6,3,SL010950,DCN1-like protein 1,DCNL1,Q96GG9,54165,DCUN1D1,Human,RFU,Protein,20,S2
X18203.9,18203-9,3,SL020916,Gamma-crystallin C,CRGC,P07315,1420,CRYGC,Human,RFU,Protein,20,S1
X18205.123,18205-123,3,SL011949,Melanoma-associated antigen 6,MAGE-6,P43360,4105,MAGEA6,Human,RFU,Protein,20,S1
X18242.8,18242-8,3,SL004276,Sperm surface protein Sp17,Sperm protein 17,Q15506,53340,SPA17,Human,RFU,Protein,20,S1
X18268.5,18268-5,3,SL020996,G antigen 2A,GAG2A,Q6NT46,729447,GAGE2A,Human,RFU,Protein,20,S2
X18405.117,18405-117,3,SL006495,AP-1 complex subunit sigma-2,AP1S2,P56377,8905,AP1S2,Human,RFU,Protein,20,S2
X18866.8,18866-8,3,SL021140,Calcineurin subunit B type 2,CANB2,Q96LZ3,5535,PPP3R2,Human,RFU,Protein,20,S2
X18898.36,18898-36,3,SL021221,Hepatoma-derived growth factor-like protein 1,HDGL1,Q5TGJ6,154150,HDGFL1,Human,RFU,Protein,20,S1
X19139.3,19139-3,3,SL018905,Heat shock factor 2-binding protein,HSF2B,O75031,11077,HSF2BP,Human,RFU,Protein,20,S1
X19317.114,19317-114,3,SL000549,Prostatic acid phosphatase,Prostatic acid phosphatase,P15309,55,ACP3,Human,RFU,Protein,20,S1
X20068.61,20068-61,3,SL020989,G antigen 12F,GG12F,P0CL80,100008586,GAGE12F,Human,RFU,Protein,20,S1
X20075.130,20075-130,3,SL005064,Melanoma-associated antigen 4,MAGE-4,P43358,4103,MAGEA4,Human,RFU,Protein,20,S2
X20381.21,20381-21,3,SL022169,PIH1 domain-containing protein 2,PIHD2,Q8WWB5,120379,PIH1D2,Human,RFU,Protein,20,S1
X20428.5,20428-5,3,SL022166,Phosphoethanolamine/phosphocholine phosphatase,PHOP1,Q8TCT1,162466,PHOSPHO1,Human,RFU,Protein,20,S1
