Analytes,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,NormGroup
X10453.7,10453-7,3,SL018233,Carcinoembryonic antigen-related cell adhesion molecule 20,CEA20,Q6UY09,125931,CEACAM20,Human,RFU,Protein,20,S1
X10462.14,10462-14,3,SL012880,Insulin-like peptide INSL5,INSL5,Q9Y5Q6,10022,INSL5,Human,RFU,Protein,20,S1
X10463.23,10463-23,3,SL002514,Intestinal-type alkaline phosphatase,"Alkaline phosphatase, intestine",P09923,248,ALPI,Human,RFU,Protein,20,S2
X10473.2,10473-2,3,SL002602,Trefoil factor 2,Trefoil factor 2,Q03403,7032,TFF2,Human,RFU,Protein,20,S1
X10496.11,10496-11,3,SL009322,Calcium-activated chloride channel regulator 1,CaCC,A8K7I4,1179,CLCA1,Human,RFU,Protein,20,S2
X10608.9,10608-9,3,SL012418,Histatin-1,HIS1,P15515,3346,HTN1,Human,RFU,Protein,20,S1
X10835.25,10835-25,3,SL018593,"Alpha-1,4-N-acetylglucosaminyltransferase",A4GCT,Q9UNA3,51146,A4GNT,Human,RFU,Protein,20,S2
X10848.137,10848-137,3,SL018632,Butyrophilin-like protein 3,BTNL3,Q6UXE8,10917,BTNL3,Human,RFU,Protein,20,S1
X11102.22,11102-22,3,SL012561,Regenerating islet-derived protein 4,REG4,Q9BYZ8,83998,REG4,Human,RFU,Protein,20,S2
X11152.46,11152-46,3,SL003918,Kallikrein-13,kallikrein 13,Q9UKR3,26085,KLK13,Human,RFU,Protein,20,S2
X11242.33,11242-33,3,SL019353,Protein-glutamine gamma-glutamyltransferase K,TGM1,P22735,7051,TGM1,Human,RFU,Protein,20,S1
X11377.19,11377-19,3,SL019442,Alcohol dehydrogenase class 4 mu/sigma chain,ADH7,P40394,131,ADH7,Human,RFU,Protein,20,S1
X12737.12,12737-12,3,SL015520,Plastin-1,PLSI,Q14651,5357,PLS1,Human,RFU,Protein,20,S1
X12975.11,12975-11,3,SL002694,"Keratin, type I cytoskeletal 20",Keratin 20,P35900,54474,KRT20,Human,RFU,Protein,20,S1
X13605.16,13605-16,3,SL015314,Annexin A10,ANX10,Q9UJ72,11199,ANXA10,Human,RFU,Protein,20,S2
X13661.193,13661-193,3,SL008382,Cystatin-D,CYTD,P28325,1473,CST5,Human,RFU,Protein,20,S1
X13747.9,13747-9,3,SL010288,Carbonic anhydrase 6,Carbonic anhydrase 6,P23280,765,CA6,Human,RFU,Protein,20,S1
X13944.3,13944-3,3,SL000578,Sulfotransferase 1A3,SULT 1A3,P0DMM9,445329,SULT1A3,Human,RFU,Protein,20,S1
X14076.74,14076-74,3,SL007888,Cystatin-S,Cystatin-S,P01036,1472,CST4,Human,RFU,Protein,20,S1
X14103.12,14103-12,3,SL010619,Tryptase gamma,TPSG1,Q9NRR2,25823,TPSG1,Human,RFU,Protein,20,S1
X14132.21,14132-21,3,SL020171,HERV-H LTR-associating protein 2,HHLA2,Q9UM44,11148,HHLA2,Human,RFU,Protein,20,S2
X15376.134,15376-134,3,SL007121,Cathepsin E,CATE,P14091,1510,CTSE,Human,RFU,Protein,20,S1
X15385.116,15385-116,3,SL004848,"Fatty acid-binding protein, intestinal",FABP2,P12104,2169,FABP2,Human,RFU,Protein,20,S1
X16292.288,16292-288,3,SL011908,Gastric inhibitory polypeptide,GIP,P09681,2695,GIP,Human,RFU,Protein,20,S2
